0,1,2,3,4,5,6,7,8,9,10,11,12,label
-316.16245,161.26588,23.42592,3.619469,-18.856258,6.684843,-14.026531,-31.66308,-13.56802,-9.8499,0.33907378,-8.721088,-3.1826248,la
-378.15918,219.41566,-30.062454,8.204445,20.21987,-10.139818,-1.62106,-2.853669,-8.28493,-4.9445376,-8.094329,-11.059459,-2.4515307,la
-400.24854,203.58638,-30.123161,7.2970214,17.778568,-7.007431,-6.1946383,-0.23859431,-2.2462587,-2.769603,-5.814575,-9.617992,-6.466489,la
-346.81012,195.1268,-26.834522,12.768431,14.23196,-8.946033,-8.278078,-4.318134,-8.251087,-10.993947,-9.396939,-7.449493,-1.5406008,la
-345.77176,195.69868,-33.04247,18.765047,9.26139,-9.103049,-8.566828,-5.1908107,-6.837672,-9.621199,-7.168411,-5.8033867,0.0669118,la
-435.89905,93.838036,80.69564,63.92031,47.88948,35.377525,26.815252,20.99541,16.486671,12.562391,9.235624,6.7062006,4.908072,la
-485.5019,64.11559,61.259647,56.818398,51.143036,44.623207,37.68545,30.749794,24.170477,18.214346,13.062514,8.806176,5.44917,la
-404.98972,173.64775,95.05164,50.52415,30.037643,17.758152,7.0576425,1.8602507,2.4716086,1.7620353,-0.6798726,-5.033226,-10.527577,la
-385.48004,114.840195,22.942879,8.986045,30.79874,24.205969,6.3877687,2.0645409,4.675429,4.079995,-3.4469807,-6.954271,5.5489373,la
-374.0298,123.524796,-18.84827,40.286655,32.380756,-2.8930154,6.6446686,-1.9275546,-12.033612,-7.472127,-6.5427785,-6.4363437,-10.514201,la
-475.0393,102.868866,72.44386,44.224457,27.957396,20.798111,16.63175,13.007195,10.197221,8.3219595,6.8969274,5.558965,4.3387184,la
-238.40514,192.03406,-67.62785,-21.806465,-19.428867,-23.986572,-13.665642,-18.601765,-13.662293,-11.429351,-8.531249,-0.2953885,-3.147045,la
-522.523,63.483864,-16.312323,-26.741198,-19.6698,-7.8964686,-6.555461,-11.699941,-9.232294,-8.860462,0.88645107,13.381041,13.442148,la
-183.38588,144.11787,-31.354826,-22.61697,-41.98514,-25.909327,-29.229227,-14.877104,-14.619869,-6.2673974,-8.712305,-5.311295,-9.276677,la
-161.37823,56.36635,-100.075935,-44.506733,-23.88173,-2.6187172,-10.71666,-11.946627,-1.057422,16.939363,-1.0175773,0.15071732,-0.84996855,la
-186.864,146.15854,-26.400774,-17.650995,-38.379234,-24.693249,-29.83308,-14.068903,-10.648965,-5.30556,-11.72441,-7.9821744,-11.3805895,la
-314.59262,112.278984,-22.313133,-19.413097,-10.767796,-5.550603,-5.4881124,-10.76646,-11.803682,-13.973395,-13.058831,-9.665173,-2.1048374,la
-469.46014,216.48126,29.167187,1.7594031,13.666582,9.561201,1.1238585,-8.0694685,-5.6459994,-6.151811,-7.307235,-0.9820012,-0.31439033,la
-135.03482,124.19341,-38.283043,69.78038,7.0594134,2.385924,2.9464705,-13.2864275,-8.854045,-8.137875,-1.0474044,2.613325,-14.310946,la
-190.67885,105.04149,-35.46455,33.427536,-5.8812575,8.229964,-5.876338,1.13301,-5.965282,-1.4677203,-7.7037177,-9.069021,-7.7801437,la
-275.3971,112.54458,-5.0312176,41.367134,2.3731058,0.08458845,-15.481968,-9.051603,-14.02897,-8.358746,-15.195573,-13.75394,-14.451771,la
-351.87326,175.16988,11.163282,-3.958245,4.5060253,7.980952,5.772978,-8.78021,2.9934134,10.178882,-9.645055,-7.4637594,4.3206563,la
-156.90372,100.29952,-27.383951,69.24898,-51.304268,-26.3792,-6.077277,18.46489,-21.200865,-29.019304,-13.614286,6.278537,-10.125654,la
-383.6286,166.11084,39.699768,18.035467,6.9728312,1.4580015,16.655405,0.5307336,-25.046207,-23.59038,-14.879437,-13.347582,-21.8577,la
-104.86112,100.29998,-27.384548,69.24933,-51.304596,-26.379135,-6.0775023,18.464794,-21.200768,-29.019566,-13.614278,6.2782607,-10.125666,la
-170.31464,105.04184,-35.46483,33.42788,-5.881359,8.23027,-5.876366,1.1334811,-5.9650445,-1.4673585,-7.703521,-9.069275,-7.7799735,la
-228.5342,142.02937,-41.615845,44.84026,3.5495212,6.866873,-5.3412485,-7.553085,0.33369005,-9.024705,-9.446265,-15.513162,-18.567684,la
-262.81912,183.68213,-39.586285,51.888996,44.36673,-3.5669696,-8.435976,-2.558001,4.85264,-0.91970545,-12.172107,-13.797433,-6.029406,la
-277.32205,176.84096,-45.087475,4.756998,-10.49053,-25.59703,-13.451962,-16.63845,-9.521597,-13.21292,-16.669003,-18.718931,-16.580158,la
-243.17157,168.30934,-23.91872,25.414022,4.7808976,19.271225,-9.935619,-14.542903,8.815353,-9.224457,-15.946524,-12.056663,-16.46832,la
-210.1177,172.47276,-51.46014,48.806873,-4.1507354,-3.4084437,-1.5419561,-7.208506,0.41162345,-12.563492,-12.246561,-14.145614,-6.223766,la
-462.1739,70.791595,60.470543,49.364185,40.346977,33.692467,29.025352,25.933926,23.573729,20.791922,17.089956,13.302411,10.696702,la
